Month,price
1/01/03,2935.4
1/02/03,2778.4
1/03/03,2848.6
1/04/03,2970.9
1/05/03,2979.8
1/06/03,2999.7
1/07/03,3106.7
1/08/03,3202.9
1/09/03,3176.2
1/10/03,3282.4
1/11/03,3195.7
1/12/03,3306
1/01/04,3283.6
1/02/04,3372.5
1/03/04,3416.4
1/04/04,3407.7
1/05/04,3456.9
1/06/04,3530.3
1/07/04,3546.1
1/08/04,3561.9
1/09/04,3674.7
1/10/04,3786.3
1/11/04,3942.8
1/12/04,4053.1
1/01/05,4880.2
1/02/05,4878.4
1/03/05,5087.2
1/04/05,5207
1/05/05,4972.3
1/06/05,5034
1/07/05,4957.1
1/08/05,5079.8
1/09/05,5113
1/10/05,5352.9
1/11/05,5461.6
1/12/05,5644.3
1/01/06,4880.2
1/02/06,4878.4
1/03/06,5087.2
1/04/06,5207
1/05/06,4972.3
1/06/06,5034
1/07/06,4957.1
1/08/06,5079.8
1/09/06,5113
1/10/06,5352.9
1/11/06,5461.6
1/12/06,5644.3
1/01/07,5757.7
1/02/07,5816.5
1/03/07,5978.8
1/04/07,6158.3
1/05/07,6341.8
1/06/07,6310.6
1/07/07,6187.5
1/08/07,6248.3
1/09/07,6580.9
1/10/07,6779.1
1/11/07,6593.6
1/12/07,6421
1/01/08,5697
1/02/08,5674.7
1/03/08,5409.7
1/04/08,5656.9
1/05/08,5773.9
1/06/08,5332.8
1/07/08,5052.6
1/08/08,5215.5
1/09/08,4631.3
1/10/08,3982.7
1/11/08,3672.7
1/12/08,3659.3
1/01/09,3478.1
1/02/09,3296.9
1/03/09,3532.3
1/04/09,3744.7
1/05/09,3813.3
1/06/09,3947.8
1/07/09,4249.5
1/08/09,4484.1
1/09/09,4739.3
1/10/09,4646.9
1/11/09,4715.5
1/12/09,4882.7
1/01/10,4596.9
1/02/10,4651.1
1/03/10,4893.1
1/04/10,4833.9
1/05/10,4453.6
1/06/10,4324.8
1/07/10,4507.4
1/08/10,4438.8
1/09/10,4636.9
1/10/10,4733.4
1/11/10,4676.4
1/12/10,4846.9
1/01/11,4849.9
1/02/11,4923.6
1/03/11,4928.6
1/04/11,4899
1/05/11,4788.9
1/06/11,4659.8
1/07/11,4500.5
1/08/11,4369.9
1/09/11,4070.1
1/10/11,4360.5
1/11/11,4184.67
1/12/11,4111
1/01/12,4325.7
1/02/12,4388.1
1/03/12,4420
1/04/12,4467.2
1/05/12,4133.7
1/06/12,4135.5
1/07/12,4289.4
1/08/12,4339
1/09/12,4406.3
1/10/12,4535.4
1/11/12,4518
1/12/12,4664.6
1/01/13,4901
1/02/13,5120.4
1/03/13,4979.9
1/04/13,5168.6
1/05/13,4914
1/06/13,4775.4
1/07/13,5035.7
1/08/13,5125.3
1/09/13,5217.7
1/10/13,5420.3
1/11/13,5314.3
1/12/13,5353.1
1/01/14,5205.1
1/02/14,5415.4
1/03/14,5403
1/04/14,5470.8
1/05/14,5473.8
1/06/14,5382
1/07/14,5623.1
1/08/14,5624.6
1/09/14,5296.8
1/10/14,5505.02
1/11/14,5298.1
1/12/14,5388.6
1/01/15,5551.6
1/02/15,5898.5
1/03/15,5861.9
1/04/15,5773.67
1/05/15,5774.9
1/06/15,5451.2
1/07/15,5681.7
1/08/15,5222.1
1/09/15,5058.6
1/10/15,5288.6
1/11/15,5218.2
1/12/15,5344.6
1/01/16,5056.6
1/02/16,4947.9
1/03/16,5151.8
1/04/16,5316
1/05/16,5447.8
1/06/16,5310.4
1/07/16,5644
1/08/16,5529.4
1/09/16,5525.2
1/10/16,5402.4
1/11/16,5502.4
1/12/16,5719.1
1/01/17,5675
1/02/17,5761
1/03/17,5903.8
1/04/17,5947.6
1/05/17,5761.3
